Sentiment,stem_data
negative,yg nama ny plagiat ya plagiat laku tp tetep ajah ciptaan dri hasil plagiatwkwkwkwk gua mah ogah dwngerin ajah udh pngen muntah
negative,dasar plagiat ga kreatipmemalukab bgt
negative,begonya bilang apanya yaaa liriknya aja percintaan gitu lagu bener tolol si ayu gapunya kupe y orang yg dipermasalahin nadanya
negative,pacarnya anggel pietr kali cowok bocah usernam yaelah je terxta kelakuan mu aja sprti ayut hidupmu penuh drama murahan
negative,japok gateeel emanguda main si mamadsamp si jessica dimusuhindeddi corbuzi aja jijik si japok semenjak nagita diundang hitam putih nagita cerita panggungitu aja sih gue
negative,usernam memalukan buk ngomong pelakor emang ibuk udah pelakor ya tau ayu pelakor wkwkwkwkwk awa rumah tangga yg dimasukin pelakor anaknya pelakor
negative,kerdu mulutnya busukjangan sampah makanannya
negative,usernam tai loe gedein bagu pupuk jngan bacot loe goblok nih cewek knpa bawa suku
negative,elo arti papan blenyek aja belagu arti kga popul sekalu hahaha
negative,anang muka nya kaya babiii gitu aja demenin jijikk
negative,ga suka ayu ting ting ga separah ngejudg nya hati otak manusia kekurangan kelebihan perasaan seenak nya menjudg orang kaya udah sempurna aja lo usernam
negative,ga pant dipanggil ustadorg munafik ceramah org kelakuan sndr aja menzolimi istri sah nya dgn poligami diamkacian istri pertamanyaga tw malu istri hadeh klo yg msh manggil bwt ceramah namanya bodo
negative,biadab klo anak lo bulli gue mampusin ya
negative,dasar anj tuh cowok org berani cowok one by one yg lemah dasar yah cowok jaman skrg case doank cowok nyali nya banci
negative,usernam iya kasian si micin perusahan produk micin mengiklan kalo masak tambahkan micin biar sedap netizen menyudutkan mecin kebodohan orang yg gangguan jiwa ngemil micinjusticeformicin
negative,wahh jngn vidio lamakok bajunya norak bngtt ayuuterlihat murahaan
negative,usernam bego lo ya
negative,editan banget ya ampun si mommi lamb kehabisan gosib ya si pelakor
negative,yah admin nya golongan pengonsumsi mecin pil pcc otak lu rusak min
negative,org govlok yg prcya ayu slgkuh sma rafibuktinya rafi sma gigi skrg baek ajadan ktamu ayu pelakor suami yg d rebut woyi skrg ayu suami fikir pke otak mkanya jgn kbanyakan micin jdi govlok
negative,usernam hoy barisan sakit hati jijikk banget fan billi mah alhamdulillah bgt billi putu manusiaa buluk ituu yg ditunggu akhiri putu kobil jg jijik ni orang v
negative,mba usernam gak ngerasa cinlok babang anthoni ketemu dimana sih sinet boy alah ngaku ajaaa mba dumang cinlok sok bilang gak cinlok namanya pembodohan wajar netizen bilang ratu cinlok kenyataan emang ya marah resiko arti hahahhaa pinter ya mba cari alasan hahahahaha
negative,usernam noh uru tu kuin lu biar ga gatel nempel ama laki orng masyarakat udh tau kali japok gundik janda gateludh kenyataan nya begtu anak sholehah agama nya kuat mata kuliah agama cma dpt agama nya kuat tpi hamil
negative,usernam bilang tu kuin lu gesek grepe ama lakik orng ga malu udh hamil nikah kegatelan janda
negative,usernam pleas lo bela pelakorini hukuman si muljem karna uda tega recut suami sahabat sendiridia menjalani sanksi sosialnya valakor mesti dibenc karna biar ga valakor indonesiabiar musnah sem
negative,naji muakk menjijikan pelakor jijik
negative,semoga pelakor kena karma semoga karma yg meninggalkan istrinya yg bwrjuang dg dr nol tp suks selingkuh sok jd penguasa istri ya
negative,sedih ya skrg ngamen kawinan org mantan istri mahhhh pesawat jet bhay pelakor n botakbego
negative,usernam heeehh lo pelakornya yaaaakkk ngapa lo emosi situuu kenal gw kalo berani pake akun asli pant pake akun bodong ngerebut laki orang diem keceplosan yak pake bodong ngakak gueeee lucu lo
negative,wkwkwkwk udh gak laku jd nyanyi dhajatan si lont pelakor
negative,usernam wakakak cerita kyk gituu pembelajaran aja jgn samp ni swamik swamik milih pelakor drpd istri hancuuurr bookk ga bohong deh kere kismin nyungsep emang yg ngatur rezeki tu tuha
negative,cwenya yg bego cwonya yg pinter ya emg lakinya kaya macho gitu plu nya kayanya jago gombal maennya gesit ulala ngakakabi
negative,usernam yg bodoh ngapain keluarga depok komen org yg gak aja yg hidupnya gak bahagia yg suka menghujat orang hidup arti ayu berpengaruh emang dasar benci ayuklo
negative,usernam mah lihat yg main prasangka kayak eluelu hater kayak dukundukun titisan dajjal sok pinter otak kosong sorri ye gue bala nabi muhammad yg percaya klo udh ditunjukkin saksi bukti klo
negative,mata ku sepet baca koment fan ubul empang minggir woy bikin rusuh aja nih jaer ami jijik sumpahso enji sm cewek ttp aja bala jaer nyampah bikin ribut
negative,sih si enji harti kah male banget jijik laki model mah gak tanggung jwbnya ayu bunt tinggalin anak gak akuin skrg anak udh nongol bilqi cantek eh sampek bini nya ngepost yg enji kangen anaknya najonggg jijik betol dah deh min gak baha laki harti aja gak panutan yg ambil usernam
negative,usernam bego nya pede ngomong yg bilang bener bukti aja kaga keliatan pinter jatohnya bego
negative,bilang enji ganteng beba slingkuh bego kali ganteng pala lu bau menyan gada ganteng ganteng nya kebanyakan gaya kek mantan bini depok nya
negative,sebenarny cocok enji att gateeeel hahah pantesan si tongtong dipertemukan dgn enji udh hukum alam klw jodoh cerminan si entong hrsnya bekaca dgn biar sadar tp teryata otak m tetep pertahankan jd skrg mlh guatelny aja kek enji hah
negative,usernam oalaahhh aja pelakor laki nya jg kegatelan tp namanya laki kuce ksh ikan jaer grati ya kga nolak wkwkkwkw
negative,laki ya si suka pecun murahan prempuan berjilbab ato pintar enji downgrad sih pedangdut kela prempuan berjilbab ehh milih pecun jeleknya seleramu
negative,motorninja aj songong mba org yg mobil lamborgini aj wae
negative,goblok gua nonton berkali≤ kaget
negative,ga usa pake anj babi kalo gw bl gitu wkwk
negative,oh kemaren menghargai karya orang bilang jelek banget aduh penganten perempuan nya kekenyangan yah amp kembung gitu perut nya pepuralugu
negative,percaya gimik raffi gigi dn attsehingga att peserta keluarga hujad dn anak nydi hujad kesini penonton bodohin publik yg kasihan penghujad ga ayu ga pesbuk biar ngeluarkn album singl arti halan nengri gimik yoo
negative,kalo bener gimmick bodoh banget si ayu rate n popularita berani taruhin harga nilai buruk mata masyarakat
negative,susah otaknya diemvang mah bikin rusuh dilapak orang
negative,najiiisss kayak si mba dese ga gitu ajaaa hahahahaha male teriak male ngaca buuuuuk
negative,usernam iyak kaa hahahahah geli bgt gasih att ih kampung abis(((
negative,jogetnya bikin ngakakkk anjirrrr kampungan banget usernam usernam
negative,bagu la gue otak gak kayak lu malu maluin mak lu aja tong akun asli pake tu yg namanya bego usernam
negative,yg bego mah elu sih yg ngasih contoh buruk anaknya pake mata lo emg dugem bawa anak bego sih -- jaman udah texa gue jamin dijaman anaknya jga udh texa selagi ga ngerugiin lo yaudah sewot banget
negative,si wanita jahiliyah lesbi skrg udh py pacar lg kasian anaknya kmrn ksh bencana slnya tega misahin anak dr nya ktakutan anak nya masuk islam pdhl bp nya g prnh nuntut anaknya memeluk islam udh ksh nikmat anak org msh aja begajulan
negative,usernam gw emang kador arti beneran komen lo tolol sumpah kenal nilai arti hahaha org indo jg setuju kalo kador arti tp celebgram dr kampung lo tau bedanya arti dg selebgra
negative,usernam hahahaaaa tr gue lo tolol pake nanya kador bencong ngga blm kenal wkwkwkwkw eh org jg nilai si kador bencong beneran dr gerak gerik melambay suara ngondek pake baju cewek nyaman cowok tu
negative,usernam maklumin shaaay fan gati kera otaknya bebel realita jg ga terima halnya nagita arti uda dr jaman eh bilang numpang tenar rapi mamadpdhl yg jadiin si mamad gede y ph n
negative,usernamebe idih najong lu tag org nimbrung aja kek mujaer lo ga terken klo ga bawa nama ayu ting ting sm nagita duh bego dipiara kesian
negative,langsung bilang yg maksud klu gini namanya munafik
negative,jedar emg muka kali didepan dibelakang busuk mulutnya kek banci cucoklah banci tu
negative,amit amit deh orang jahat penjilat pembohong pelakor jijik banget
negative,wkwkwkwk ya allah ya tuhan ku knp org munafik ni tp sok suci mulan jamela ayu ting ngikuti jejak a wkwkwk usernam
negative,dlu si pelakor yg sombong krn brhasil dapetin si botak smpe mnceraikan bunda mayaskrg hdp ny mkin anjlok bunda maya yg sring jelong kluarnegri
negative,hahhahaha sesungguhnya allah swt melaknat wanita perebut pezina suami sah oranglain
negative,lina hemmmm capekmiskin sist skrg blik kere lg jd arti jg g laku dah karma tu usernam dr sirik nyinyirin nyonya tuh bantuin jualan cireng nya tuh cilok nya tuh untunnya liburan monaco bromo tru
negative,kepo sm nyonyiah lu jongo usernam emng tetehlu pa hamil peak udeh dinikahin brojol anak br sirih emng lonteeee kela akun jamahliur junjungan hehe
negative,eh jongo cba gue duluan yg nanya sm lu emng nyonyiah gembar gembor udah nikah adakah nyonyiah ngaku udeh nikah dr tetehlu yg lont perek brojol ngaku nikah siri sm laki nyonyiah hamidun sapeak anak ileg dibilng fitna keji haha lont menolak lupa xixix usernam
negative,usernam gua currr ya bunmai sdh nikah tp janda janda suami nya rampa mulan jameelamenjijikkan banget ya mulan jameela sblm rmh tangga bunmai hancur sdh berani bilang dani suami aduha udh wanita be
negative,lina usernam lucu aja ya sist lont bela matian guoblok pelihara bayar gt muljamban samp bikin account usernam maia nikah blm nikah urusan situ nyinyirnya sirik nya
negative,yaela muljem kyak stu bner aja gag inget udh ngrusak kbhagian klwrga org bego d prtahanin y gini
negative,lakik doyan banci banci kawinin banci jijik
negative,usernam comment yg lihat brp pengguna medso yg bodoh bunyi situ sehat pakai hijab masi nyinyir aja
negative,usernam malu tuh kerudung sayang ibadah nya sholat aja drpd nyinyirin org dandanan udh sok suci mulut nya kaya sampah
negative,usernam tolong baca arti dr comment udah kerdus+bodoh lg bilangin org tua nya besok kalo masak pakai mecin jd udah kerdungab ga sesuai mulut besok makan salmon kalo g besok deliv rumahmu
negative,maaf mukanya jelek attitud nya burukspesiali plagiatdan ketauan
negative,orang otaknya ga sekolahin ya resiko udah upload sosm ya dapet perbincangan netizen public figur ga otaknya
negative,arti kampungan wkwk
negative,iyaaa gue pacaran udah nikah gak senorak eloo gak risih emang jgn aplod perhatiin follow lu yg lumayan tar kebawa norak
negative,y ampun pnyanyi dangdut tenar songong bangt bacotnya pngn nyari sensasi kmpungan bangt deh amit amit bool ko d instastori
negative,waaaaoooosopan bahasami kelasmu heeeehh yg repot ama hidup lu siapahh elu live nampilin gak pentingyg nggilanikk menjijikkandiliat org ya pant dikomenklo gak mw dikomen videoin pribadi aja nonton lu ama kluarga lu rmh nambah niy ertong yg gak pni attutud kampungan
negative,norak sihkayak ga malunyakl bilang terserah diaya udahsimpan fotonyagak dibagi kesemua oranglah dipam kemanaresikolah dinyinyiri oranginsecur bangetkudu ya pamer gitu biar orang ngerti kl si mbaknya udh py pacar yg dipam pantatnyakampung bgt
negative,koq marah sehhhdasar wanita kampungan
negative,kampungan arti yg numpang tenar gara mukanya kati perri doangö
negative,susah kalo arti kampung
negative,ah min gue gak suka akun nih berita nya basi lo liat min si kellen amora dateng pake jingkrak lo sare min biar berita nya gak blunder lo post tu kd udah post videon kellen ma amora joget ma si arsya arsyi
negative,usernam iyakm bene kelewat bene buluk ya mbak mbaknya nelen apasih komen kaya gini kesurupan
negative,sekeluarga ngefan kagum lihat usernam nya dehtapi lihat anak nya yg jelekbuluk usernamehermansyah usernam kutuk yg menimpa bunda kd untung allah swt menggantikan amora adik nyagemezzzzzzz lihat nya cocok banget anak arti class bunda kd
negative,emang dasar si anak nya aja yg lebayurusan pribadi umbarbiar blow up hadehhgunanya whatsapp sm or telp apasuka aneh
negative,coba liat bibir mu sayang pantat ayam wajah mu bulukan kentut perfectoooo
negative,gagal foku dengar suaranya koq jengkel ya dengernya sorri cuman manusia kalo jengkel
